[2025-08-04 08:04:15,070] INFO django.server - "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
[2025-08-04 08:04:15,072] INFO django.server - "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
[2025-08-04 08:04:15,073] INFO django.server - "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,063] INFO flights.views - 📦 DB'den alındı ve cache'e yazıldı.
[2025-08-04 08:04:30,070] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 16399
[2025-08-04 08:04:30,088] INFO django.server - "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
[2025-08-04 08:04:30,098] INFO django.server - "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
[2025-08-04 08:04:30,098] INFO django.server - "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
[2025-08-04 08:04:30,098] INFO django.server - "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,099] INFO django.server - "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
[2025-08-04 08:04:30,099] INFO django.server - "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,104] INFO django.server - "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,105] INFO django.server - "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,106] INFO django.server - "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,106] INFO django.server - "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,106] INFO django.server - "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
[2025-08-04 08:04:30,347] INFO flights.views - ✅ Cache'ten alındı.
[2025-08-04 08:04:30,348] INFO django.server - "GET /api/flights/ HTTP/1.1" 200 2821
[2025-08-04 08:04:47,082] INFO flights.views - Yeni uçuş oluşturuldu: TK1026 - Mardin → Madrid
[2025-08-04 08:04:47,089] INFO django.server - "POST /api/flights/ HTTP/1.1" 201 10309
